attach,HGDCYIIRJCNCWHZLXIHAIOTSZFPNELA9EZGRZZWTZWFWHELY9XJV9GPUDPKPIEXMAMEBOERNUONWEFQTN https://perma.iota.partners:443 score: 0.5100219878562307
2434,0
-1,1
1380,2
1523,3
3848,4
2527,5
873,6
1764,7
3668,8
9027,9
2503,10
4480,11
1444,12
3675,13
1313,14
2816,15
3075,16
3023,17
3593,18
3663,19
1007,20
2190,21
1907,22
3049,23
4186,24
5419,25
4575,26
7043,27
-1,28
776,29
1944,30
5195,31
3477,32
-1,33
1815,34
1104,35
2065,36
3195,37
1640,38
979,39
3510,40
5618,41
3925,42
1618,43
3626,44
