attach,FKDMRH9W9EQYHINEXUCMXOK9MXYDRHRAOCGFXTBRUVGZFIDJDYDQLFEAA9EIDOIXPQVYOX9YQWKD9WCCO https://node-iota.org:14267 score: 0.7424601836715804
-1,0
2182,1
1410,2
1470,3
4624,4
-1,5
2889,6
2116,7
3045,8
1822,9
-1,10
2250,11
2552,12
2450,13
1846,14
858,15
1628,16
4011,17
952,18
6183,19
3690,20
892,21
3430,22
2589,23
2576,24
1813,25
1849,26
1698,27
2749,28
2276,29
2161,30
2780,31
1855,32
2190,33
2688,34
1232,35
6429,36
2684,37
2502,38
2326,39
2073,40
4933,41
1442,42
