attach,FULZDMLHAWBVFZBZRFTMWYBHMXCXGBMK9WOHZZSYBMXJQ9ZBXAXXTNMWACWRHRYCJ9JNXOMW9TVAGSQYX https://iotanode.world:14267 score: 0.4432605356891948
1362,0
3230,1
1850,2
2414,3
6812,4
2498,5
3658,6
1212,7
2496,8
1925,9
2495,10
1236,11
2241,12
2348,13
1055,14
4260,15
4137,16
2941,17
3747,18
2045,19
2358,20
3356,21
4970,22
2102,23
1800,24
2932,25
2527,26
2985,27
4135,28
2987,29
1691,30
1376,31
2076,32
5687,33
2069,34
6547,35
6811,36
3907,37
3232,38
4185,39
6569,40
1106,41
2105,42
3092,43
3728,44
