attach,QPTVGBGNIY9HWSGIZOLKXZBQPJYGOZKWDRPWOICDMGWWNVWOSLTMNBMWUHX9ITZTH9ZJFKFZFMIIBFVPD https://nodes.thetangle.org:443 score: 0.914229053557043
1110,0
3544,1
2209,2
1746,3
1900,4
1718,5
1688,6
5918,7
1883,8
2712,9
1353,10
1264,11
1672,12
1823,13
4784,14
1420,15
3514,16
5586,17
3835,18
5473,19
1877,20
3431,21
1438,22
2306,23
4021,24
2105,25
6278,26
782,27
3793,28
-1,29
1822,30
6990,31
3536,32
1429,33
-1,34
1258,35
2464,36
2028,37
3937,38
1554,39
3358,40
4605,41
1460,42
1782,43
2782,44
