attach,https://node01.gubiota.ch:443 score: 41.270313240066514 scoreNorm: 0.18436359451749412
1119,65,0
1179,51,1
678,63,2
10503,72,3
18110,88,4
6298,86,5
18462,166,6
8038,16150,7
725,64,8
-1,-1,9
-1,-1,10
45417,87349,11
51645,46998,12
10178,53779,13
-1,-1,15
-1,-1,14
-1,-1,16
108594,36184,17
-1,-1,18
-1,-1,19
71738,18316,20
-1,-1,21
88362,1028,22
26571,37867,23
-1,-1,25
-1,-1,24
46114,223,26
-1,-1,27
27640,35451,28
84377,9727,29
8502,78140,30
34024,225,31
33189,25706,32
18443,47830,33
5681,14609,34
7002,94,35
40857,8802,36
1213,47,37
12224,11080,38
2951,723,39
1028,67,40
796,79,41
29006,21455,42
9668,63183,43
46362,47420,44
