attach,http://node06.iotatoken.nl:14265 score: 61.822265625 scoreNorm: 0.27617370010109343
422,62,0
524,61,1
834,62,2
411,62,3
356,61,4
1124,63,5
373,61,6
305,63,7
3431,94,8
828,61,9
357,60,10
860,61,11
361,61,12
730,75,13
554,62,14
2657,61,15
689,61,16
835,61,17
596,61,18
781,61,19
659,61,20
608,61,21
496,62,22
735,93,23
716,61,24
502,61,25
674,66,26
458,61,27
520,62,28
563,61,29
659,68,30
403,65,31
731,62,32
1180,62,33
542,62,34
879,61,35
687,62,36
789,61,37
915,62,38
997,62,39
422,62,40
486,161,41
644,62,42
792,63,43
321,62,44
