attach,http://213.136.79.161:14265 score: 6.830617972444294 scoreNorm: 0.05822115461593315
493858,0
506321,1
565632,2
649148,4
670777,5
664918,6
639661,7
680928,8
606159,9
657789,10
617411,11
579641,12
683519,13
1322529,3
667664,14
633778,15
706677,16
817123,17
778246,18
619712,19
680497,20
679481,21
696442,23
706013,24
723517,25
708050,26
728117,27
738428,28
726355,29
685808,30
1555552,22
1024983,31
1005287,32
1154709,33
1147280,34
1286749,35
1280691,36
1189508,37
1283113,38
1238530,39
1229508,41
1250244,42
1219637,43
1213919,44
2075663,40
