attach,https://nodes.thetangle.org:443 score: 110.60937028177668 scoreNorm: 0.515440832460833
767,6441,0
377,681,1
263,2208,3
1381,3424,4
469,514,5
469,8289,6
1114,18125,7
564,4404,8
5847,37101,9
-1,-1,2
453,24101,12
417,49075,11
631,449,13
628,17180,14
461,1898,15
1377,479,16
1042,1953,17
488,22680,18
2248,14007,19
-1,-1,10
1862,19217,20
683,45983,22
1822,440,23
901,975,24
1062,4357,25
673,1712,26
1879,2974,27
1715,7112,28
-1,-1,29
985,15836,30
517,27181,31
-1,-1,21
691,28383,32
1786,1413,33
691,3500,34
524,468,35
445,2514,36
624,1090,38
836,7444,39
900,15902,40
728,21407,41
12317,27289,42
1809,2197,43
628,1142,44
-1,-1,37
