attach,https://nodes.thetangle.org:443 score: 110.60937028177668 scoreNorm: 0.515440832460833
617,1418,0
415,5173,1
599,1554,2
438,4728,3
443,1889,4
722,872,5
383,8822,6
1335,3530,7
732,2440,8
461,12035,9
1394,9773,10
313,15408,11
482,26348,12
529,5284,13
564,3002,14
720,1732,15
1439,2050,16
1615,3267,18
734,10890,19
671,20919,20
771,39497,21
1526,26391,22
728,3494,23
904,2309,24
1412,3814,25
2321,8543,26
-1,-1,17
787,887,27
1507,7418,28
1087,11824,29
707,13307,30
1405,23019,31
3404,25943,32
958,671,34
-1,-1,35
555,1618,36
1220,4614,38
-1,-1,37
1296,19885,39
1295,18637,40
1014,21227,41
629,29161,42
-1,-1,33
401,551,43
362,2856,44
