attach,https://dyn.tangle-nodes.com:443 score: 84.91650485806167 scoreNorm: 0.7768347903839867
26113,0
9083,1
-1,2
-1,3
10221,4
7742,5
8195,6
-1,7
-1,8
12003,9
15812,10
4128,11
-1,12
-1,13
12778,14
-1,15
18537,16
-1,17
-1,18
20805,19
-1,20
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
6289,27
-1,28
2296,29
-1,30
-1,31
19092,32
-1,33
-1,34
20378,35
-1,36
-1,37
-1,38
7474,39
-1,40
4312,41
-1,42
-1,43
-1,44
