attach,https://hanspetzersnode.org:14267 score: 90.16311339475214 scoreNorm: 0.7116257848407953
4870,0
9569,1
21992,2
7801,3
23519,4
11835,5
13360,6
50594,8
79202,7
27817,9
16033,10
36018,11
70800,13
114484,12
37960,14
3930,15
44876,16
15473,17
25687,18
20477,19
24357,20
27514,21
20750,22
25169,23
7179,24
16050,25
2996,26
17786,27
3983,28
39510,29
173391,30
130780,31
155121,32
116711,33
98116,34
126177,35
71886,36
77525,37
62534,38
22942,39
87818,40
13408,41
17647,42
15797,43
-1,44
