attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 IJFMFCXATZZCRMXAUTEGJUMQPSUHVLHAKSBJVNJDIYASGJHRKDYEJKXPNAYBNOQUFSGU9NRSSXYPCGEBL
725,0
12428,1
21792,2
