attach,https://hanspetzersnode.org:14267 score: 74.73930196277797 scoreNorm: 0.6344913064421622
22183,0
15101,1
22254,2
45647,4
78884,3
25254,5
22548,6
58527,7
45653,8
31230,9
26104,10
5403,11
25091,12
42790,13
42547,14
65172,15
63573,16
62064,17
59409,18
26559,19
24624,20
25113,21
72698,22
69800,23
23067,24
107963,25
145078,26
198530,27
163593,28
179611,29
134521,30
96963,31
123207,32
129866,33
65277,34
192981,35
163152,36
71767,37
45014,38
58911,39
53210,40
48167,41
22411,42
6710,43
27671,44
