attach,https://ultranode.iotatoken.nl:443 score: 65.12485774739584 scoreNorm: 0.5842209210139817
7673,0
4602,1
12188,2
1033,3
12398,4
10174,5
29737,6
51003,7
59033,8
18729,9
16366,10
4762,11
6961,12
5201,13
6585,14
6038,15
4315,16
2417,17
21903,18
21686,19
1927,20
1435,21
-1,22
-1,24
-1,23
-1,26
-1,25
150248,27
112514,28
-1,30
162987,29
111552,31
87450,32
42872,33
77964,34
124704,35
116938,36
116929,37
66203,38
70126,39
75898,40
7143,41
14447,42
16606,43
4210,44
