attach,http://207.180.224.65:14265 score: 35.143758556382224 scoreNorm: 0.14439382191089734
1742,14339,0
974,3769,1
478,17606,2
1464,6850,3
478,13723,4
904,5268,5
904,23752,6
1288,21101,7
9188,7586,8
1186,41123,9
777,7651,10
444,38560,11
1230,9414,12
966,17144,13
2224,5472,14
731,13187,15
773,29418,16
8545,13968,17
6571,22418,18
1088,40081,19
20759,28402,20
644,12649,21
11595,36024,22
1283,55909,23
1360,19287,24
703,16210,25
703,2055,26
446,12240,27
2931,34647,28
1261,60446,29
2814,3568,30
927,43508,31
-1,-1,32
27245,3938,34
90711,23635,33
1104,24130,35
71898,25809,37
102536,36609,36
386,12627,38
4433,25436,39
843,43547,40
832,32653,41
1577,43541,42
