attach,QF9AGYCWKBZPEHVJHNWZRTZWWZSFODNNTOLPSTYBKLTFBIVZXSIOZJK9MTGVNSUZWOXVIM99OQWELIRNK https://ultranode.iotatoken.nl:443
105867,0
166007,1
-1,6
-1,3
218745,2
-1,10
-1,9
-1,12
-1,14
-1,15
521990,4
506407,5
473160,7
-1,17
-1,18
464809,8
205524,13
-1,19
-1,20
610753,11
-1,16
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
-1,27
-1,30
311221,28
-1,31
-1,32
-1,29
-1,35
-1,36
-1,33
-1,38
-1,39
-1,40
-1,41
-1,42
484942,34
-1,43
-1,37
462775,44
