attach,https://iotanode.world:14267 score: 54.72650095111661 scoreNorm: 0.4904111618757855
11437,0
51830,1
10432,2
29180,3
86538,4
29713,6
119497,5
235749,7
-1,8
-1,11
-1,10
-1,9
-1,12
-1,21
-1,22
-1,23
328068,15
-1,18
-1,24
646638,13
-1,17
719522,14
-1,16
-1,26
-1,25
-1,27
-1,28
-1,20
557713,19
-1,36
-1,32
-1,33
-1,34
-1,37
-1,30
460320,31
-1,41
-1,39
-1,38
801156,29
-1,35
501940,40
448257,42
-1,44
-1,43
