attach,MXKXVAIZJNJROQBCDJFMIIKWEKFGZZILJWBAZDWBIMYBPIYBPEYDSGGGAGEOUDRDFLGEY9QLCRGNLYUJJ https://trinity.iota-tangle.io:14265 score: 0.5651663201980891
4196,0
5026,1
4227,2
6920,3
9693,4
5074,5
14613,6
24592,7
105824,8
66637,10
150782,9
107895,11
-1,13
-1,12
-1,14
-1,15
-1,17
-1,16
-1,19
-1,18
-1,20
-1,21
-1,23
-1,22
-1,25
-1,24
-1,27
-1,26
-1,29
-1,28
-1,31
-1,30
-1,33
-1,32
-1,34
-1,35
-1,37
-1,36
-1,39
-1,38
-1,41
193851,40
-1,43
-1,42
-1,44
