attach,WJK9USIFXPQFXJPQ9A9GTHMUUAHG9KLBZIGIFWTLVRLSEHIYSJMGXQ9KGORKVPLSHTEMMARPNKTZRQIFD https://papa.iota.family:14267 score: 0.17467857169306789
3520,0
22836,1
3621,2
11500,3
4517,4
10174,5
2232,6
9318,7
1517,8
21057,9
1422,10
9893,11
4041,12
4517,13
11956,14
16932,15
10740,16
48628,17
59928,18
79699,19
61700,20
106715,21
103479,22
-1,23
-1,24
-1,25
-1,26
-1,27
-1,28
-1,30
-1,29
-1,32
-1,33
-1,31
-1,34
-1,35
-1,36
-1,37
-1,39
-1,38
-1,41
-1,40
-1,42
