attach,https://perma.iota.partners:443 score: 54.36229782104492 scoreNorm: 0.5720357608311669
2727,0
7407,1
7212,2
6472,3
4526,4
10173,5
5594,6
7035,7
3570,8
9453,9
5115,10
11408,11
9909,12
11618,13
2268,14
3326,15
5975,16
12280,17
2439,18
12525,19
6995,20
8681,21
3799,22
8728,23
3952,24
8448,25
2588,26
9703,27
2429,28
6977,29
5550,30
6595,31
5967,32
1574,33
6292,34
6929,35
4127,36
1544,37
4438,38
8215,39
3327,40
9470,41
4991,42
9149,43
