attach,https://ultranode.iotatoken.nl:443 score: 226.40157269965277 scoreNorm: 0.9960729075727933
1741,7407,0
3462,13293,1
4543,1194,2
3825,1282,3
29240,15188,4
14256,1541,5
11574,7670,6
4722,6307,7
1747,24574,8
3528,18766,9
4082,25822,10
3488,64948,11
42255,44569,12
57323,63007,13
26148,79670,14
97202,55042,16
-1,-1,15
40341,109164,17
33318,109582,18
60368,48415,19
105943,10604,20
80065,41496,21
15722,110831,22
-1,-1,24
57406,110028,23
-1,-1,25
92165,82320,26
-1,-1,27
-1,-1,28
76356,49127,29
58589,30343,30
9744,100083,31
53790,94246,32
-1,-1,33
98510,50209,34
117915,41602,35
-1,-1,36
-1,-1,38
-1,-1,37
-1,-1,40
98819,102960,39
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
