attach,https://nodes.thetangle.org:443 score: 83.8770052449087 scoreNorm: 0.36902399350215637
671,1301,0
456,5103,1
583,1972,2
565,3034,3
635,1087,4
367,26366,5
630,2121,6
557,1204,7
356,8596,8
850,581,9
654,1568,10
1545,2139,11
785,3804,12
643,1515,13
514,1532,14
685,683,15
492,11834,16
385,2823,17
725,3166,18
686,4826,19
1705,27160,20
833,747,21
837,2483,22
969,7178,23
785,19175,24
452,552,25
300,3961,26
989,6918,27
-1,-1,28
902,4819,29
1291,5876,30
602,2669,31
1429,302,32
1305,2271,33
584,437,34
918,2267,35
260,1756,36
1029,14173,37
363,1886,38
1565,5802,39
1595,1758,40
525,2171,41
617,14726,42
313,1901,43
459,4689,44
