attach,https://ultranode.iotatoken.nl:443 score: 237.4842265218099 scoreNorm: 0.9979056518829433
10184,13333,0
15012,14729,1
1970,9629,2
5261,26769,3
2512,38164,4
9078,7375,5
2788,30323,6
711,1679,7
15842,15669,8
2487,69269,9
53617,23603,10
4239,88530,11
2863,102710,12
87729,12698,13
95292,17337,14
94433,56587,15
-1,-1,16
-1,-1,17
51763,68291,18
29507,96168,19
43744,74409,20
33518,102812,21
-1,-1,22
-1,-1,24
86943,114373,23
-1,-1,26
54646,117337,25
-1,-1,27
30992,75431,28
16213,85731,29
4126,108898,30
-1,-1,31
-1,-1,32
88483,62328,33
118659,36886,34
-1,-1,35
-1,-1,36
-1,-1,38
-1,-1,37
-1,-1,39
-1,-1,40
-1,-1,41
-1,-1,43
-1,-1,44
-1,-1,42
