attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
437,10039,0
443,751,1
450,1416,2
580,5558,3
1547,183,4
477,4850,5
1186,817,6
389,679,7
1327,1556,8
-1,-1,9
473,11825,10
665,17025,11
8873,23167,12
432,12041,13
1350,12321,14
1189,14795,15
3140,2797,16
481,8953,17
1353,7302,18
495,14738,19
695,19728,20
519,29809,21
601,31409,22
1910,1548,23
1055,6859,24
-1,-1,25
1679,977,26
441,1288,27
927,6497,28
904,14491,29
1610,29123,30
939,27432,31
1606,30471,32
388,1654,34
1375,9719,35
9164,26696,36
710,908,37
698,565,38
1474,6810,39
862,12957,40
741,18721,41
747,25832,42
-1,-1,33
893,30725,43
1348,1744,44
