attach,https://dyn.tangle-nodes.com:443 score: 135.14671339988706 scoreNorm: 0.6174961201958125
-1,-1,0
-1,-1,1
-1,-1,2
1066,5660,3
1289,4699,4
19471,1086,5
1343,8008,6
-1,-1,7
-1,-1,8
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
858,11131,19
-1,-1,20
-1,-1,21
19749,5008,22
814,2442,23
1241,13175,24
-1,-1,25
-1,-1,26
773,19841,27
552,14732,28
-1,-1,29
979,5715,30
-1,-1,31
-1,-1,32
-1,-1,34
-1,-1,33
957,8345,35
696,11791,36
-1,-1,37
-1,-1,38
809,28159,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
