attach,https://nodes.tangled.it:443 score: 45.43789795287033 scoreNorm: 0.1931280087796068
358,93,0
312,69,1
28425,584,2
31938,666,3
3448,618,4
-1,-1,5
22940,272,6
920,95,7
33967,124,8
46835,10461,9
5052,297,10
270,55,11
780,55,12
358,178,13
11404,11855,14
373,74,15
213,87,16
19399,62,17
448,63,18
278,82,19
409,135,20
551,68,21
983,63,22
351,62,23
448,55,24
330,55,25
5241,55,26
423,83,27
327,62,28
346,55,29
16800,732,30
8518,3079,31
39531,818,32
14317,12845,33
331,68,34
287,68,35
523,55,36
323,68,37
367,110,38
313,55,39
412,87,40
5473,1058,41
304,201,42
