attach,https://nodes.tangled.it:443 score: 22.99980400355757 scoreNorm: 0.22013043217311493
9626,0
7210,1
6827,2
22188,3
9636,4
8257,5
5998,6
11242,7
6890,8
22040,9
20780,10
5463,11
5551,12
23822,13
15827,14
17065,15
46573,16
17004,17
5632,18
7052,19
6157,20
21821,21
3009,22
30188,23
4877,24
15199,25
16684,26
18096,27
14558,28
12247,29
6102,30
4359,31
36794,32
8685,33
7809,34
4622,35
4144,36
20762,37
15007,38
9888,39
26757,40
32847,41
39636,42
44533,43
11621,44
