attach,http://node02.iotatoken.nl:14265 score: 76.37814641680036 scoreNorm: 0.8037009627561187
13468,0
1050,1
13307,2
19721,3
10602,4
20997,5
20444,6
4011,7
5438,8
18011,9
18469,10
14221,11
9905,12
9298,13
40501,14
21039,15
4939,16
4306,17
4483,18
2655,19
8090,20
4825,21
17177,22
9151,23
5807,24
11494,25
7622,26
6550,27
3354,28
8968,29
6006,30
3946,31
6646,32
5729,33
5213,34
18568,35
6822,36
6664,37
8866,38
20586,39
9730,40
2057,41
3061,42
10620,43
2985,44
