attach,https://www.iotaqubic.us:443 score: 81.53412566334379 scoreNorm: 0.5391748534784675
1125,723,0
1386,727,1
1031,690,2
1086,715,3
1818,705,4
1163,691,5
931,691,6
1276,700,7
1060,693,8
-1,-1,9
1752,699,10
-1,-1,11
964,734,12
1290,730,13
1120,718,14
915,935,15
1401,727,16
1221,703,17
862,730,18
901,697,19
1268,743,20
693,689,21
1429,723,22
808,721,23
947,711,24
1245,734,25
911,715,26
1010,715,27
-1,-1,28
-1,-1,29
1536,715,30
1088,723,31
887,710,32
1311,704,33
1242,686,34
1168,730,35
845,779,36
895,979,37
1245,726,38
1116,705,39
1196,715,40
952,706,41
792,738,42
1709,679,43
1209,705,44
