attach,https://hanspetzersnode.org:14267 score: 32.65891418606043 scoreNorm: 0.3025749663754485
-1,1
-1,0
28660,2
2252,3
6613,4
13378,5
16872,6
39520,7
37393,8
39632,9
28977,10
40397,11
4651,13
64866,12
17020,14
40543,15
20633,16
17321,17
15373,18
23228,19
7530,20
-1,21
-1,22
24416,24
91698,23
73034,25
28872,26
8369,27
13057,28
2566,29
79843,30
34540,31
67111,32
47566,33
88566,34
53155,35
22034,36
48631,37
44553,38
38111,39
56432,40
2902,41
4118,42
3541,43
21064,44
