attach,https://ultranode.iotatoken.nl:443 score: 68.96584717475044 scoreNorm: 0.5194742580623274
8435,0
25871,1
16667,2
6578,3
9442,4
1899,5
33760,6
1958,7
29996,8
16055,9
8977,10
