attach,https://node-iota.org:14267 score: 81.51987627893686 scoreNorm: 0.7342716891108564
4071,0
1371,1
28575,2
21329,3
29726,4
42313,5
135856,6
101227,7
66253,8
33140,9
141710,11
176818,12
326105,10
254424,13
264458,15
-1,21
-1,22
-1,16
169747,18
460365,14
-1,20
346172,19
-1,28
640423,17
407172,23
339500,25
377994,24
-1,29
101392,31
184517,30
-1,34
604130,26
647959,27
-1,37
-1,36
-1,35
-1,33
562629,32
-1,40
459163,38
-1,41
440027,39
287827,42
-1,44
-1,43
