attach,https://iotanode.world:14267 score: 62.49215424436552 scoreNorm: 0.5628838235251659
13200,0
31492,1
9888,2
28576,3
28339,4
22944,5
124739,6
198106,7
271710,8
301168,9
351728,10
312532,11
284525,12
295852,13
357002,14
-1,16
-1,19
-1,18
-1,17
324560,15
-1,21
-1,28
-1,31
-1,32
553698,20
301126,25
-1,27
-1,30
-1,33
657112,22
665280,23
-1,26
-1,24
486058,29
-1,35
-1,34
-1,44
322514,39
336060,40
-1,42
656966,36
629728,37
647475,38
411934,43
-1,41
