attach,https://nodes.thetangle.org:443 score: 90.4324088175913 scoreNorm: 0.40574508532841325
486,2374,0
362,3549,1
821,2524,2
496,2318,3
565,4638,4
510,12080,5
601,1299,6
389,2576,7
1278,35115,9
-1,-1,10
739,1881,11
658,3371,12
671,7637,13
-1,-1,14
530,1193,15
-1,-1,16
615,3322,17
-1,-1,8
756,2717,18
641,3907,19
750,3078,20
886,2961,21
6648,8072,22
327,5345,23
-1,-1,24
536,1418,25
1521,19845,26
1410,9997,27
491,2486,28
842,1032,29
1535,22752,30
1357,1125,31
1526,6171,32
1169,8432,33
503,2472,34
1356,1403,35
1091,6691,36
685,14477,37
597,5591,38
564,36769,39
749,6248,40
5940,2639,41
853,2261,42
