attach,http://node06.iotatoken.nl:14265 score: 63.32809429059709 scoreNorm: 0.28413555889518455
813,8830,0
630,9466,1
489,11960,2
945,11980,3
734,8205,4
5968,57279,5
22931,9523,6
1034,7798,7
749,16834,8
17249,19305,9
2329,12837,10
635,19950,11
598,8670,12
623,6029,13
889,3892,14
19530,26705,15
18195,14944,16
786,7608,17
6244,10164,18
817,2261,19
4985,2519,20
436,16609,21
21835,39155,22
6277,29464,23
11557,38945,24
6099,14115,25
1973,32516,26
588,10833,27
742,6307,28
589,5138,29
600,7705,30
794,17420,31
868,8588,32
701,12373,33
1480,47471,34
14252,6343,35
861,694,36
770,16127,37
10163,4038,38
937,5675,39
406,12714,40
1006,8031,41
-1,-1,42
818,9692,43
894,5991,44
