attach,http://207.180.252.59:14265 score: 64.62956434147569 scoreNorm: 0.2899748933080415
665,15911,0
11562,33536,1
20443,36674,2
12888,105927,3
56691,57897,4
-1,-1,5
90088,22750,6
17922,62437,7
16218,43356,8
58464,48931,9
75635,56174,10
39914,13137,11
4008,93866,12
39073,21623,13
53233,6991,14
44266,50807,15
8720,77641,16
23270,67570,17
28855,24633,18
16780,19078,19
4057,5382,20
19862,16557,21
9403,37888,22
13254,30663,23
-1,-1,24
75115,38279,25
-1,-1,26
-1,-1,28
-1,-1,27
107304,10496,29
36030,100344,30
-1,-1,31
55895,36323,32
35868,48444,33
68176,41495,34
34141,77336,35
1172,17979,36
1509,19841,37
618,7187,38
1188,16408,39
3761,13753,40
1129,4608,41
884,8043,42
803,13500,43
