attach,LC9XQBSFMMR9VGBJFSPQJQYFFYBHOAETRKETDTWZOXTHKNMJRBX9GITFGPETQOHYTDAMJTXOTHMXLDMFG https://wallet1.iota.town:443 score: 0.5430181519268563
2116,0
1759,1
2247,2
1504,3
2777,4
1104,5
2700,6
1200,7
842,8
4289,9
3508,10
5443,11
2579,12
3276,13
4670,14
2924,15
1780,16
-1,17
1459,18
1793,19
2356,20
4776,21
5161,22
1430,23
6578,24
6360,25
7642,26
5006,27
1962,28
1617,29
2744,30
3098,31
4308,32
2486,33
3431,34
1346,35
6855,36
3768,37
1726,38
3125,39
3978,40
4595,41
1648,42
3578,43
2384,44
