attach,XZUBNSTTPNSEXBHJKKRYPAKHEO9WVPCTLYESUVXEVFWGAPD99JKNUQFYUGFALHUTTRNPLHMIADO9WTG9H https://nodes.thetangle.org:443 score: 1
3640,0
1109,1
3734,2
1088,3
4925,4
2466,5
2693,6
6251,7
1456,8
1253,9
2895,10
2179,11
1608,12
2257,13
2129,14
4690,15
3741,16
5225,17
6944,18
2920,19
1949,20
4732,21
6242,22
3384,23
4390,24
1346,25
2153,26
1849,27
3015,28
1761,29
3249,30
1718,31
9065,32
2690,33
4297,34
4508,35
-1,36
3232,37
2637,38
3003,39
5532,40
1001,41
5981,42
5885,43
2280,44
