attach,UZDLFAR9Z9HPFGZQVTHTKGJSCTGBHJUDIQGSLTZKUWHVSSAYWP9AUJVGUKTHJMOYSODFGPOWDXAFZDAN9 https://trinity.iota-tangle.io:14265 score: 0.7347486454707362
3079,0
2885,1
3613,2
5395,3
1014,4
1449,5
1240,6
1501,7
1900,8
6590,9
1139,10
1701,11
3163,12
4709,13
1062,14
1631,15
4124,16
3140,17
1494,18
5025,19
2922,20
3753,21
1082,22
2304,23
4268,24
1873,25
1728,26
4163,27
1800,28
1752,29
3360,30
2009,31
1766,32
7497,33
3190,34
2415,35
3144,36
6385,37
2676,38
2640,39
2148,40
2197,41
1807,42
5110,43
