attach,https://nodes.thetangle.org:443 score: 104.21824213263693 scoreNorm: 0.44095887047193166
374,9602,0
556,970,1
458,4250,2
487,687,3
602,12839,4
915,18714,5
1248,29435,6
475,1205,7
369,802,8
409,13011,10
831,20608,11
-1,-1,12
554,316,13
592,6267,14
721,1859,15
409,3102,16
552,1827,17
-1,-1,9
595,7873,18
649,13684,19
1623,19619,20
1956,25510,21
1983,33000,22
6164,1511,23
404,4735,24
858,4082,25
1571,18812,26
2209,4074,27
1235,8247,28
1110,14285,29
713,27567,30
2472,44720,31
41846,1270,32
786,931,33
-1,-1,34
520,50138,35
1293,4122,36
715,2272,37
667,28279,38
777,10995,39
1489,18491,40
672,21713,41
642,30314,42
741,1425,43
489,3211,44
