attach,https://node02.gubiota.ch:443 score: 39.82166401598153 scoreNorm: 0.17381818091692536
1258,49,0
447,49,1
933,48,2
469,49,3
43410,14900,4
66812,1250,5
1327,4610,6
24015,508,7
13405,48,8
18064,22916,9
6979,5175,10
65757,26802,11
6646,64927,12
-1,-1,13
-1,-1,14
-1,-1,16
-1,-1,15
29015,68236,17
-1,-1,18
-1,-1,19
-1,-1,20
74303,79113,21
-1,-1,23
87567,90450,22
-1,-1,24
-1,-1,25
86202,57229,26
14653,107507,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,32
-1,-1,31
-1,-1,34
-1,-1,33
-1,-1,35
13917,12353,36
30149,3232,37
6716,84,38
42609,266,39
8345,264,40
1017,51,41
714,64,42
1124,46175,43
