attach,https://trinity.iota-tangle.io:14265 score: 123.48581340909004 scoreNorm: 0.5642165374285814
425,2419,0
419,1773,1
843,749,2
248,1217,3
606,769,4
653,2008,5
652,2339,6
466,1611,7
642,2339,8
481,1016,9
1019,541,10
545,521,11
428,2521,12
465,193,13
650,1128,14
715,1152,15
725,4248,16
539,3451,17
813,2707,18
420,8826,19
401,518,20
517,1554,21
353,1710,22
1085,1370,23
382,2445,24
588,2371,25
398,625,26
207,2871,27
318,757,28
924,568,29
503,6615,30
369,1827,31
383,800,32
801,1788,33
369,1040,34
1412,1148,35
910,8020,36
474,211,37
530,4571,38
1560,7218,39
1024,1242,40
748,7349,41
639,5023,42
