id, latitude, longitude, timestamp, executionTime
0, -22.923943, -43.177799, 2020-02-28T12:57:22.058Z, 1003
1, -22.924776, -43.179428, 2020-02-28T12:58:32.070Z, 2217
2, -22.925875, -43.179329, 2020-02-28T12:59:07.089Z, 1787
3, -22.928761, -43.179279, 2020-02-28T13:00:17.136Z, 1948
4, -22.930351, -43.178955, 2020-02-28T13:01:27.190Z, 1130
5, -22.930725, -43.179085, 2020-02-28T13:02:02.222Z, 1733
6, -22.931084, -43.179314, 2020-02-28T13:03:11.261Z, 1944
7, -22.931461, -43.179459, 2020-02-28T13:04:22.315Z, 1192
8, -22.932478, -43.182209, 2020-02-28T13:05:32.364Z, 1273
9, -22.932751, -43.183285, 2020-02-28T13:06:07.410Z, 1936
10, -22.93276, -43.183285, 2020-02-28T13:06:41.414Z, 1836
