attach,http://185.244.195.45:14265 score: 40.376518070697784 scoreNorm: 0.1794947000304128
466,44,0
555,25,1
519,38,2
564,25,3
437,25,4
13255,43,5
321,38,6
25409,37,7
815,37,8
1718,629,9
531,38,10
685,31,11
659,37,12
329,339,13
808,1564,14
7187,37,15
14496,37,16
1146,43,17
444,25,18
9041,38,19
951,27,20
1204,24,21
337,39,22
400,31,23
932,61,24
1080,44,25
1867,1707,26
3616,43,27
3275,38,28
773,26,29
540,39,30
419,43,31
815,24,32
573,43,33
1033,32,34
364,25,35
2546,31,36
778,37,37
8994,24,38
1033,30,39
653,30,40
1037,37,41
530,8413,42
