attach,XTBY9HTFLZOZHSTVWSKECFBQRPZKGWWBXWZCKQWPVCPJTCYOCJYBTPBQFSPXBBEBGANPPCFMXFA9SEHCX https://ultranode.iotatoken.nl:443 score: 0.6222706467367373
22292,0
-1,1
174274,2
-1,4
-1,5
-1,6
-1,7
497788,3
-1,8
-1,10
-1,11
-1,12
375871,9
-1,14
267044,13
-1,17
-1,19
-1,20
320264,15
386617,16
-1,25
-1,24
477737,18
328419,22
-1,26
-1,21
-1,23
-1,29
-1,31
-1,30
327064,27
-1,32
-1,34
-1,35
414725,28
-1,37
-1,38
275817,33
190922,36
-1,41
238368,39
-1,42
-1,43
427578,40
423761,44
