attach,SGRSOXTTYONCHGA9PQNQRZKI9TNGMTQRAC9QRLAPHLL9QFNB9BLDJJQWBPJQZAFSQPLUGUFJYU9FBTEQZ https://iotanode.world:14267 score: 0.3833826365612361
-1,3
-1,1
-1,4
-1,0
-1,8
405159,2
-1,5
-1,9
-1,10
354483,6
-1,13
-1,16
-1,15
-1,14
404838,7
389829,11
-1,17
401606,12
-1,19
-1,20
-1,21
55114,18
-1,22
-1,23
-1,26
-1,25
-1,29
342604,24
-1,31
344598,27
-1,34
-1,35
458497,28
343146,30
-1,37
412117,32
411516,33
237159,38
-1,42
473410,36
194829,41
385075,39
326174,40
315730,44
432941,43
