attach,NT9CWZFL9UQWWWXOHEEAGEZUNUQHEBHFJWOZHAYNCIDHRQQXPTSNZZFMTY9MDGUZJJSYIQIHWIOEBYYL9 https://ultranode.iotatoken.nl:443 score: 0.6222706467367373
93481,2
299294,0
185931,3
362286,1
-1,6
-1,7
506793,4
-1,8
-1,10
415802,5
-1,11
-1,13
-1,15
-1,16
-1,17
383827,9
115312,14
-1,18
466470,12
-1,19
-1,21
-1,24
-1,23
333334,20
-1,27
341034,22
192768,25
-1,30
-1,31
196215,26
-1,32
-1,33
-1,29
499843,28
-1,35
-1,37
-1,38
342465,34
-1,39
-1,41
-1,42
414202,36
-1,43
454155,40
251003,44
