attach,https://wallet2.iota.town:443 score: 97.56887111663819 scoreNorm: 0.44773355570816986
-1,-1,3
1570312919024,1570313470093,1570313758622,0
1570312949051,1570313532537,1570313761516,1
1570312979075,1570313600958,1570313762023,2
1570313336621,1570313823338,1570314223466,7
-1,-1,6
-1,-1,5
-1,-1,4
-1,-1,12
-1,-1,13
-1,-1,15
-1,-1,8
-1,-1,16
-1,-1,14
-1,-1,17
1570313460726,1570313985628,1570314608822,9
1570313550897,1570314137418,1570314794662,10
-1,-1,21
1570313640934,1570314252055,1570314847245,11
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,18
-1,-1,28
1570314121697,1570314870698,1570315261880,19
1570314181730,1570314992473,1570315292192,20
1570314543386,1570315116146,1570315311366,26
1570314603408,1570315276117,1570315317222,27
1570314723779,1570315425161,1570315505900,29
-1,-1,25
-1,-1,35
1570314753954,1570315522074,1570315663686,30
1570314811087,1570315644832,1570315663951,31
-1,-1,36
1570314904152,1570315712873,1570315790272,32
1570314964446,1570315789795,1570315796386,33
-1,-1,37
-1,-1,38
1570315024672,1570315836840,1570315841070,34
-1,-1,40
1570315326916,1570315988217,1570315988562,39
1570315416974,1570316116110,1570316126821,41
1570315507194,1570316127389,1570316156504,42
1570315567253,1570316156433,1570316166422,43
1570315627288,1570316167466,1570316206247,44
