attach,JURKMASHWCPVTEUWZZL9JLMAWFZ9LTOVTWNLWARILVKJMIECKVU9AVQSDTBF9GDEQZRIRCZKZRPNVVFPQ https://trinity.iota-tangle.io:14265
-1,0
-1,1
-1,2
-1,4
-1,3
-1,7
-1,8
-1,11
-1,12
-1,13
-1,14
-1,15
-1,5
627868,6
-1,16
-1,18
-1,10
-1,19
-1,21
-1,22
-1,24
-1,23
627726,9
-1,25
-1,27
-1,28
-1,30
-1,31
-1,32
790228,17
-1,34
-1,33
-1,29
761983,20
-1,36
-1,26
-1,38
-1,39
-1,35
-1,42
-1,43
-1,44
518389,40
-1,41
-1,37
