attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
1252,1526,0
663,2138,2
511,619,3
357,3596,4
614,556,5
597,1276,6
3602,6245,7
612,7321,8
921,2526,9
-1,-1,1
500,1878,10
527,24041,11
395,2072,12
732,32061,13
938,6659,14
1280,7402,15
1004,18186,16
1676,15326,17
607,21639,18
1185,5164,19
1552,5430,20
739,1784,21
27525,5938,22
321,10721,23
4467,16598,24
1430,18826,25
1435,25381,26
1390,999,27
-1,-1,28
374,1642,29
769,2926,30
1421,9880,31
859,641,32
941,1913,33
669,57878,34
1097,17828,36
4410,11019,37
537,15487,38
1227,24740,39
1211,2235,40
586,1750,41
-1,-1,35
433,1369,42
626,2830,43
682,4118,44
