attach,https://dyn.tangle-nodes.com:443 score: 135.14671339988706 scoreNorm: 0.6174961201958125
-1,-1,0
1141,2113,1
868,11969,2
-1,-1,3
17214,4040,4
882,1548,5
27026,6365,6
1161,5895,7
-1,-1,8
-1,-1,9
705,12721,10
1096,7175,11
-1,-1,12
1040,4018,13
-1,-1,14
-1,-1,15
493,9928,16
658,4420,17
672,4242,18
-1,-1,19
-1,-1,20
807,4991,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
-1,-1,26
1976,1064,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
1313,33743,33
10641,2170,34
-1,-1,35
730,7662,36
-1,-1,37
-1,-1,38
-1,-1,39
1124,8215,40
991,22944,41
-1,-1,42
792,6209,43
18444,6605,44
