attach,https://dyn.tangle-nodes.com:443 score: 135.14671339988706 scoreNorm: 0.6174961201958125
12316,4488,0
1116,13399,1
8371,4094,2
585,10187,3
-1,-1,4
-1,-1,5
-1,-1,6
-1,-1,8
-1,-1,7
-1,-1,9
28033,5412,10
-1,-1,11
902,5879,12
-1,-1,13
920,25630,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
1354,7531,20
773,14976,21
-1,-1,22
-1,-1,23
-1,-1,24
881,24325,25
-1,-1,26
12063,6653,27
-1,-1,28
-1,-1,29
713,1015,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
652,13692,36
-1,-1,37
-1,-1,38
1183,9016,39
-1,-1,40
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
