attach,KWHSSJGKEWWFVPGXNHKMTZVYQCZVAOOYDEFNSLOKHMWZBNYIGGBZRUWNFPSDGIJDFKZTGSYAAZMFAULBF https://nod3.theshock.de:443 score: 0.2148692979520098
18720,0
11936,1
7858,2
4571,3
10989,4
28381,5
45367,6
8813,7
13805,8
11293,9
-1,10
-1,11
-1,12
-1,13
33573,14
-1,15
-1,16
48452,17
13767,18
-1,19
-1,20
-1,22
33813,21
10736,23
4154,24
46311,25
17718,26
-1,27
3625,28
6984,29
3565,30
30089,31
4611,32
-1,33
16838,34
21597,35
-1,36
16324,37
19826,38
49520,39
39133,40
28985,41
20723,42
29947,43
6525,44
