attach,DJBLSBMPVAGB9BZHOHGBCPDKCLRAISDCASLJEJFHZXWSZSDGUPJLGRZQIDS9BLSQHWCCVJGGRXKPAUCBR https://mama.iota.family:14267 score: 0.13399384901438147
7854,0
13097,1
19894,2
23038,3
-1,4
20970,5
6923,6
18204,7
20117,8
24013,9
-1,10
6869,11
12983,12
26906,13
3381,14
-1,15
-1,16
-1,17
-1,18
-1,19
-1,20
4625,21
47248,22
22112,23
19858,24
11600,25
-1,26
38100,27
4598,28
-1,29
-1,30
8564,31
-1,32
15256,33
20098,34
8376,35
45292,36
52537,37
14648,38
32735,39
16277,40
10016,41
43771,42
-1,43
33259,44
