attach,https://dyn.tangle-nodes.com:443 score: 121.31728649139404 scoreNorm: 0.5459555901269767
-1,-1,0
1515,8739,1
10040,5918,2
6987,15257,3
1633,17614,4
1677,7845,5
-1,-1,6
-1,-1,7
-1,-1,8
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
795,15204,13
23065,12432,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
560,18907,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
-1,-1,25
1286,3545,26
691,2790,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
642,6142,35
969,12198,36
7434,17416,37
1324,4643,38
1337,3572,40
-1,-1,39
21434,7027,41
1144,19970,42
-1,-1,43
-1,-1,44
