attach,http://node05.iotatoken.nl:14265 score: 54.04351574707031 scoreNorm: 0.24320820540542973
428,8282,0
460,923,1
834,16640,2
724,11234,3
5152,2442,4
495,5199,5
328,1668,6
505,10309,7
8914,11755,8
471,7227,9
3486,10515,10
329,8435,11
510,8589,12
2211,17740,13
240,1219,14
619,2937,15
562,5036,16
551,4863,17
304,7314,18
988,36947,19
16766,28953,20
2240,30343,21
2415,16063,22
436,2381,23
392,1825,24
10935,7193,25
620,4316,26
340,2579,27
708,3446,28
412,1199,29
5146,16944,30
14759,4566,31
724,14621,32
415,10439,33
6391,7772,34
541,13567,35
1785,5134,36
3850,6371,37
3115,20537,38
346,10795,39
1824,15524,40
690,25107,41
-1,-1,43
-1,-1,42
4222,25187,44
