attach,http://5.189.141.225:14265 score: 100.08096828460693 scoreNorm: 0.8968383339901123
590398,0
689968,1
717488,2
720326,3
806066,4
837881,5
924120,7
996625,8
1161568,9
1180464,10
1228105,13
2194290,6
1679102,11
1715881,12
1845799,14
1909380,15
1900911,16
1961341,17
2162240,18
2171451,19
2211431,20
2252730,21
2300692,22
2354020,23
2349239,25
2404977,26
2434589,27
2506035,28
2515738,29
2548143,30
2611297,31
2739667,32
2803059,33
3515044,24
3179472,34
3165048,35
3762152,36
3782355,38
3773637,40
3749122,42
3772100,37
3766781,39
3736898,41
3763854,43
