attach,http://node01.iotatoken.nl:14265 score: 52.87602423967634 scoreNorm: 0.23795422608128186
322,2898,0
544,2102,1
387,8077,2
5497,28629,3
2796,30856,4
1579,1529,5
1829,2432,6
3617,6052,7
9433,23235,8
9330,4868,9
7346,15989,10
473,1565,11
566,7354,12
13954,6392,13
347,10767,14
521,5470,15
377,3749,16
5741,17548,17
2299,55897,18
1827,38740,19
12137,14786,20
4612,2733,21
1940,8610,22
732,4425,23
6025,31127,24
947,19331,25
686,5875,26
896,3312,27
742,5275,28
11562,16616,29
654,7623,30
402,7755,31
2733,1861,32
4953,7320,33
3114,6170,34
10577,5941,35
14082,9339,36
26703,8333,39
98982,30833,37
450,6523,40
347,13025,41
446,5757,42
409,4011,43
765,3131,44
-1,-1,38
