attach,https://nodes.thetangle.org:443 score: 87.40036917354283 scoreNorm: 0.3933216898388352
635,39547,0
686,1714,1
665,471,2
1750,3480,3
1614,4042,4
638,6105,5
1783,39371,6
1330,948,8
490,35119,7
882,1998,9
602,10756,10
419,2837,11
1216,819,12
458,13800,13
-1,-1,14
657,29597,15
636,932,16
645,870,17
584,2061,18
507,380,19
473,1410,20
369,2378,21
454,1383,22
3786,800,23
501,15381,24
620,859,25
932,2930,27
634,2565,28
673,4518,29
455,780,30
538,2852,31
575,3421,32
776,668,33
612,2061,34
-1,-1,26
647,2055,35
317,2991,37
6175,28517,36
595,1148,38
556,17149,39
636,1865,40
782,1986,41
558,825,42
