attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 9UAORBH9B99DQVYCGLQUXYVESZYMEAOQZWMBYFBPD9MRPHYHXODZHZTALVAFWWQZRZBIQCDYIDW9IGAEU
468,0
623,1
30593,2
-1,3
-1,4
