attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 VOLGTQXMCWORPISTILCTIKGVNCMAKRLQHNTKAKWUQSIIFSYQMUTPWVOCVOSDXNKJEFVJKUOEMVUFOTPOV
579,0
3572,1
18639,2
-1,3
-1,4
-1,5
