attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 YX9JLTXSRYVHRMWQMAUBQLTYOFDLLIERYUFCERNSTYXPAVVCPAFO9PQNWWHQP9LW99TWAYRUZEFYFBBPS
-1,0
-1,1
