attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 LJVVORTEVMUTGZNPQUPWYFRWFQTOYXFM9LWKANNXGNDYIFIOZHJRFCLUNRMUZFQPONMHYLIIO9UXMNYIE
508,0
500,1
6611,2
24490,3
-1,4
-1,5
