attach,http://89.163.242.213:14265 score: 223.97487299262156 scoreNorm: 1
5312,4774,0
1065,56,1
601,56,2
721,62,3
14244,4286,4
541,68,5
7767,56,6
714,62,7
670,50,8
519,50,9
433,50,10
1144,56,11
1306,56,12
750,50,13
735,50,14
537,62,15
9746,14251,16
346,70,17
1105,63,18
482,63,19
484,69,20
4413,300,21
679,56,22
532,50,23
4902,30576,24
2169,1352,25
975,52,26
849,63,27
5722,6358,28
872,97,29
806,57,30
893,254,31
14039,11891,32
588,56,33
557,1007,34
1134,51,35
14162,7645,36
11040,239,37
8625,57,38
2674,51,39
653,51,40
413,57,41
332,70,42
